Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-35.79599,-29.05790,3,2011,1750.000,2.85600,34.769001,-0.45000,-0.43000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,1251.000,3.96200,34.759998,-0.45000,-0.39000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,151.000,3.82700,34.080002,-0.44000,-3.68000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,399.000,5.33800,34.240002,-0.44000,-0.81000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,750.000,2.99500,34.284000,-0.43000,-3.64000,,Geotraces Rijkenberg et al. (2011)
-32.74438,-22.47150,3,2011,4510.000,0.45100,34.686001,-0.43000,-2.76000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,1749.000,3.44100,34.922001,-0.43000,-0.09000,,Geotraces Rijkenberg et al. (2011)
-28.46011,-5.67700,3,2011,4501.000,0.95200,34.740002,-0.43000,-1.80000,,Geotraces Rijkenberg et al. (2011)
-28.9169,-2.65115,3,2011,4840.000,0.77400,34.714001,-0.43000,-1.58000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,300.000,4.87300,34.182999,-0.42000,-2.47000,,Geotraces Rijkenberg et al. (2011)
-37.45929,-32.08940,3,2011,1999.000,3.03300,34.823002,-0.42000,-1.65000,,Geotraces Rijkenberg et al. (2011)
-35.79599,-29.05790,3,2011,3835.000,1.39500,34.783001,-0.42000,-2.72000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,1502.000,3.88900,34.912998,-0.42000,-0.11000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,2999.000,2.64800,34.902000,-0.42000,-0.21000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,4498.000,0.29400,34.674000,-0.41000,-1.32000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,1252.000,3.11200,34.361000,-0.41000,-1.36000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,2312.000,1.26600,34.715000,-0.40000,-1.90000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,997.000,3.81900,34.379002,-0.40000,-1.28000,,Geotraces Rijkenberg et al. (2011)
-29.22729,-12.89400,3,2011,4999.000,0.74600,34.710999,-0.40000,-2.21000,,Geotraces Rijkenberg et al. (2011)
-29.22729,-12.89400,3,2011,5435.000,0.62100,34.692001,-0.40000,-3.64000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,399.000,4.13600,34.159000,-0.39000,-2.68000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,100.000,4.71300,34.028000,-0.38000,-2.60000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,5497.000,0.34500,34.668999,-0.38000,-2.95000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,500.000,3.92700,34.150002,-0.38000,-2.45000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,150.000,10.67100,34.764000,-0.38000,0.01000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,2500.000,2.60500,34.814999,-0.38000,-1.91000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,1246.000,3.13600,34.542000,-0.38000,-0.66000,,Geotraces Rijkenberg et al. (2011)
-47.19958,-46.92000,3,2011,5501.000,0.33600,34.668999,-0.37000,-1.99000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,300.000,6.88600,34.374001,-0.37000,-0.62000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,2501.000,2.53700,34.827999,-0.37000,-1.05000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,4001.000,0.52000,34.687000,-0.37000,-0.98000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,3499.000,1.24100,34.724998,-0.37000,-0.86000,,Geotraces Rijkenberg et al. (2011)
-37.45929,-32.08940,3,2011,2500.000,3.01100,34.916000,-0.37000,-1.73000,,Geotraces Rijkenberg et al. (2011)
