Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,notes,Citation
-126.535,69.92,11,2003,134.9,-1.47,33.16,-1.62,-99.9,,Lansard et al (2012)
-126.535,69.92,11,2003,162.5,-0.97,33.69,-1.29,-99.9,,Lansard et al (2012)
-127.724,70.59,11,2003,1.9,-1.49,27.19,-4.39,-99.9,,Lansard et al (2012)
-127.724,70.59,11,2003,4.8,-1.49,27.34,-4.35,-99.9,,Lansard et al (2012)
-127.724,70.59,11,2003,8.6,-1.49,27.45,-3.87,-99.9,,Lansard et al (2012)
-127.724,70.59,11,2003,14.6,-1.53,28.43,-3.70,-99.9,,Lansard et al (2012)
-127.724,70.59,11,2003,38.4,-1.38,31.93,-2.61,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,1.7,-1.50,27.55,-4.13,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,5.0,-1.49,27.59,-4.07,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,10.0,-1.50,27.61,-4.07,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,14.9,-1.50,27.61,-4.09,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,25.1,-1.07,29.96,-3.26,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,49.9,-1.44,32.06,-2.44,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,74.3,-1.44,32.58,-2.13,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,98.9,-1.49,32.81,-1.90,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,123.5,-1.46,33.06,-1.68,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,147.6,-1.24,33.41,-1.34,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,197.5,-0.29,34.43,-0.16,-99.9,,Lansard et al (2012)
-127.144,70.77,11,2003,228.8,-0.06,34.55,0.01,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,1.4,-1.42,27.45,-4.16,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,4.9,-1.48,27.45,-4.13,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,9.9,-1.49,27.45,-4.10,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,14.8,-1.49,27.69,-4.07,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,25.9,-0.88,30.26,-3.30,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,49.7,-1.25,32.26,-2.48,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,74.4,-1.46,32.55,-2.15,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,99.5,-1.52,32.82,-1.96,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,129.6,-1.46,33.10,-1.73,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,148.2,-1.34,33.37,-1.43,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,198.1,-0.41,34.30,-0.32,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,247.5,0.12,34.65,0.11,-99.9,,Lansard et al (2012)
-126.476,70.95,11,2003,329.1,0.37,34.79,0.32,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,1.5,-1.43,27.27,-4.19,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,4.0,-1.43,27.35,-4.21,-99.9,,Lansard et al (2012)
