 -81.63 25.87 11998    0 22.10 30.00  1.19 -99.9         (A)(L)                                    Surge and Lohmann (2002)
 -81.63 25.87 11999    0 19.30 31.80  1.20 -99.9         (A)(L)                                    Surge and Lohmann (2002)
 134.45  7.33 11999    2 29.45 33.61  0.06 -99.9                                                      Morimoto et al (2002)
 134.45  7.33 11999    2 29.23 33.73  0.04 -99.9                                                      Morimoto et al (2002)
 134.45  7.33 11999    2 29.36 33.61  0.03 -99.9                                                      Morimoto et al (2002)
 134.45  7.33 12000    2 29.11 33.44 -0.07 -99.9                                                      Morimoto et al (2002)
 134.45  7.33 12000    2 29.16 33.49 -0.05 -99.9                                                      Morimoto et al (2002)
   3.89 51.35 12002    0  7.90 15.70 -3.62 -99.9            (L)                                       D. P. Gillikin (2006)
   3.67 51.37 12002    0  7.50 21.90 -2.17 -99.9            (L)                                       D. P. Gillikin (2006)
   4.03 51.39 12002    0  7.50  8.80 -4.94 -99.9            (L)                                       D. P. Gillikin (2006)
  39.52 -4.43 12003    0 -99.9 33.15  0.74 -99.9            (L)                           D. P. Gillikin (2006 pers. comm.)
 145.10 15.03 12002    0 27.58 -99.9  0.38 -99.9                                                      Grottoli et al (2010)
 145.10 15.03 12002    0 27.70 -99.9  0.40 -99.9                                                      Grottoli et al (2010)
 145.10 15.03 12002    0 27.70 -99.9  0.41 -99.9                                                      Grottoli et al (2010)
 145.10 15.03 12002    0 27.70 -99.9  0.25 -99.9                                                      Grottoli et al (2010)
 145.10 15.03 12003    0 28.06 -99.9  0.22 -99.9                                                      Grottoli et al (2010)
 145.10 15.03 12003    0 28.06 -99.9  0.13 -99.9                                                      Grottoli et al (2010)
 145.10 15.03 12003    0 27.76 -99.9  0.29 -99.9                                                      Grottoli et al (2010)
 145.10 15.03 12003    0 27.52 -99.9  0.31 -99.9                                                      Grottoli et al (2010)
 134.52  7.27 12002    0 28.69 -99.9  0.20 -99.9                                                      Grottoli et al (2010)
 134.52  7.27 12002    0 28.57 -99.9  0.20 -99.9                                                      Grottoli et al (2010)
 134.52  7.27 12003    0 28.44 -99.9  0.24 -99.9                                                      Grottoli et al (2010)
 134.52  7.27 12003    0 28.26 -99.9  0.29 -99.9                                                      Grottoli et al (2010)
