Longitude ,Latitude ,Month,Year,Sample Depth ,Temperature ,Salinity,d18,dD,Notes,Citation,
57.51,-53.01,2,2010,0,4.0,33.82,-0.27,-99.9,,Tiwari et al (2013)
57.43,-54.01,2,2010,0,3.5,33.87,-0.13,-99.9,,Tiwari et al (2013)
57.51,-55.00,2,2010,0,3.0,33.11,-0.31,-99.9,,Tiwari et al (2013)
57.50,-55.98,2,2010,0,2.5,32.54,-0.24,-99.9,,Tiwari et al (2013)
57.51,-57.04,2,2010,0,3.0,32.36,-0.24,-99.9,,Tiwari et al (2013)
57.51,-58.00,2,2010,0,2.0,32.56,-0.16,-99.9,,Tiwari et al (2013)
57.51,-59.04,2,2010,0,1.5,33.63,-0.24,-99.9,,Tiwari et al (2013)
57.51,-60.01,2,2010,0,2.0,33.61,-0.21,-99.9,,Tiwari et al (2013)
57.51,-61.17,2,2010,0,1.5,33.24,-0.14,-99.9,,Tiwari et al (2013)
57.51,-61.99,2,2010,0,1.5,33.66,-0.10,-99.9,,Tiwari et al (2013)
57.51,-63.15,2,2010,0,1.5,33.67,-0.31,-99.9,,Tiwari et al (2013)
57.68,-64.26,2,2010,0,1.0,33.67,-0.23,-99.9,,Tiwari et al (2013)
57.54,-65.23,2,2010,0,1.0,33.85,-0.18,-99.9,,Tiwari et al (2013)
58.26,-66.18,2,2010,0,0.0,33.66,-0.40,-99.9,,Tiwari et al (2013)
58.84,-66.73,2,2010,0,0.0,32.52,-0.29,-99.9,,Tiwari et al (2013)
