Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-9.66122,38.32640,10,2010,2662.300,3.03000,34.980000,0.19000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,2470.000,3.10000,34.950001,0.20000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,744.300,8.73000,35.189999,0.20000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,3207.600,2.62000,34.930000,0.20000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,1286.300,5.34000,35.029999,0.21000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,1729.800,4.06000,35.000000,0.21000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,4104.300,2.36000,34.889999,0.21000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,1877.100,3.76000,34.980000,0.21000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,416.600,10.83000,35.279999,0.22000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,2715.800,2.91000,34.939999,0.22000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,2962.000,2.80000,34.939999,0.22000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,3260.700,2.57000,34.919998,0.23000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,891.200,6.46000,34.919998,0.23000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,956.400,6.34000,34.910000,0.24000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,1482.600,4.63000,35.020000,0.25000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,447.300,10.56000,35.290001,0.25000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,2863.500,2.78000,34.930000,0.25000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,2964.800,2.75000,34.930000,0.26000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,1976.100,3.67000,34.980000,0.28000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,3019.300,2.70000,34.930000,0.28000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,791.800,7.08000,34.939999,0.29000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,1731.000,4.06000,35.000000,0.30000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,2785.400,2.93000,34.959999,0.30000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,3160.300,2.64000,34.919998,0.31000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,3336.500,2.56000,34.919998,0.31000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,284.700,13.24000,35.660000,0.31000,-99.9,,Geotraces Jenkins et al. (2010)
