 143.17 37.47 51996  249  6.02 34.09 -0.19 -99.9                                                      M. Itou (pers. comm.)
 143.17 37.47 51996  300  5.19 34.02 -0.27 -99.9                                                      M. Itou (pers. comm.)
 143.17 37.47 51996  400  3.87 34.01 -0.27 -99.9                                                      M. Itou (pers. comm.)
 143.17 37.47 51996  500  3.99 34.18 -0.18 -99.9                                                      M. Itou (pers. comm.)
 143.17 37.47 51996  600  3.71 34.24 -0.23 -99.9                                                      M. Itou (pers. comm.)
 143.17 37.47 51996  700  3.50 34.32 -0.16 -99.9                                                      M. Itou (pers. comm.)
 143.17 37.47 51996  800  3.04 34.33 -0.20 -99.9                                                      M. Itou (pers. comm.)
 143.17 37.47 51996  899  2.86 34.37 -0.23 -99.9                                                      M. Itou (pers. comm.)
 144.00 41.52 51997  150  3.45 33.37 -0.46 -99.9                                                      M. Itou (pers. comm.)
 144.00 41.52 51997  175  4.15 33.48 -0.40 -99.9                                                      M. Itou (pers. comm.)
 144.00 41.52 51997  200  3.48 33.41 -0.43 -99.9                                                      M. Itou (pers. comm.)
 144.00 41.52 51997  250  2.80 33.39 -0.47 -99.9                                                      M. Itou (pers. comm.)
 144.00 41.52 51997  400  2.60 33.52 -0.48 -99.9                                                      M. Itou (pers. comm.)
 144.00 41.52 51997  500  2.87 33.70 -0.40 -99.9                                                      M. Itou (pers. comm.)
 144.00 41.52 51997  600  3.17 33.92 -0.31 -99.9                                                      M. Itou (pers. comm.)
 144.00 41.52 51997  700  3.95 34.15 -0.22 -99.9                                                      M. Itou (pers. comm.)
 144.00 41.52 51997 1000  3.10 34.32 -0.18 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997  150 12.45 34.46  0.13 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997  175 11.85 34.43  0.10 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997  200 11.23 34.39  0.07 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997  250  9.93 34.33  0.03 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997  300  8.90 34.30 -0.02 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997  400  7.42 34.25 -0.07 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997  500  6.30 34.25 -0.10 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997  600  4.92 34.28 -0.14 -99.9                                                      M. Itou (pers. comm.)
